cell_id,lat_center,lon_center,count
636,35.25,-95.25,132
637,35.25,-94.75,20
638,35.25,-94.25,145
639,35.25,-93.75,464
640,35.25,-93.25,43
641,35.25,-92.75,231
642,35.25,-92.25,65
643,35.25,-91.75,39
644,35.25,-90.25,366
645,35.25,-89.75,1039
646,35.25,-89.25,23
647,35.25,-88.25,67
648,35.25,-87.25,143
649,35.25,-86.75,172
650,35.25,-86.25,172
651,35.25,-85.75,181
652,35.25,-85.25,1783
653,35.25,-84.75,513
654,35.25,-84.25,404
655,35.25,-83.75,378
656,35.25,-83.25,586
657,35.25,-82.75,644
658,35.25,-82.25,917
659,35.25,-81.75,1367
660,35.25,-81.25,904
661,35.25,-80.75,2070
662,35.25,-80.25,322
663,35.25,-79.75,202
664,35.25,-79.25,596
665,35.25,-78.75,1830
666,35.25,-78.25,134
667,35.25,-77.75,507
668,35.25,-77.25,1189
669,35.25,-76.75,35
670,35.25,-75.75,83
671,35.75,-121.25,428
672,35.75,-120.75,808
673,35.75,-120.25,367
674,35.75,-119.75,793
675,35.75,-119.25,2874
676,35.75,-118.75,1034
677,35.75,-118.25,580
678,35.75,-117.75,693
679,35.75,-117.25,107
680,35.75,-115.25,323
681,35.75,-114.75,203
682,35.75,-114.25,132
683,35.75,-113.75,34
684,35.75,-113.25,115
685,35.75,-112.25,231
686,35.75,-111.75,202
687,35.75,-111.25,119
688,35.75,-110.75,293
689,35.75,-110.25,264
690,35.75,-109.75,220
691,35.75,-109.25,216
692,35.75,-108.75,61
693,35.75,-106.75,35
694,35.75,-106.25,243
695,35.75,-105.75,465
696,35.75,-105.25,65
697,35.75,-98.75,54
698,35.75,-97.75,121
699,35.75,-97.25,512
700,35.75,-96.75,108
701,35.75,-96.25,184
702,35.75,-95.75,191
703,35.75,-95.25,335
704,35.75,-94.75,299
705,35.75,-94.25,68
706,35.75,-93.75,54
707,35.75,-90.75,154
708,35.75,-90.25,28
709,35.75,-89.75,21
710,35.75,-89.25,246
711,35.75,-88.75,152
712,35.75,-88.25,228
713,35.75,-87.75,126
714,35.75,-87.25,281
715,35.75,-86.75,909
716,35.75,-86.25,340
717,35.75,-85.75,85
718,35.75,-85.25,305
719,35.75,-84.75,291
720,35.75,-84.25,952
721,35.75,-83.75,2020
722,35.75,-83.25,505
723,35.75,-82.75,715
724,35.75,-82.25,738
725,35.75,-81.75,576
726,35.75,-81.25,619
727,35.75,-80.75,1067
728,35.75,-80.25,425
729,35.75,-79.75,645
730,35.75,-79.25,668
731,35.75,-78.75,5073
732,35.75,-78.25,726
733,35.75,-77.75,730
734,35.75,-77.25,668
735,35.75,-76.75,500
736,35.75,-76.25,97
737,35.75,-75.75,502
738,35.75,-75.25,27
739,36.25,-121.75,394
740,36.25,-121.25,1364
741,36.25,-120.75,425
742,36.25,-120.25,348
743,36.25,-119.75,3938
744,36.25,-119.25,636
745,36.25,-118.75,34
746,36.25,-118.25,54
747,36.25,-117.75,117
748,36.25,-117.25,117
749,36.25,-116.75,144
750,36.25,-116.25,76
751,36.25,-115.75,59
752,36.25,-115.25,6741
753,36.25,-114.75,468
754,36.25,-114.25,101
755,36.25,-112.25,138
756,36.25,-111.75,49
757,36.25,-111.25,309
758,36.25,-110.75,176
759,36.25,-109.75,145
760,36.25,-109.25,23
761,36.25,-108.75,38
762,36.25,-106.75,67
763,36.25,-106.25,141
764,36.25,-105.75,49
765,36.25,-102.75,30
766,36.25,-97.75,29
767,36.25,-97.25,501
768,36.25,-96.75,133
769,36.25,-96.25,306
770,36.25,-95.75,1453
771,36.25,-95.25,202
772,36.25,-94.25,1068
773,36.25,-93.75,141
774,36.25,-93.25,44
775,36.25,-92.25,32
776,36.25,-91.75,34
777,36.25,-91.25,232
778,36.25,-90.75,99
779,36.25,-90.25,88
780,36.25,-89.75,137
781,36.25,-89.25,224
782,36.25,-88.75,63
783,36.25,-88.25,161
784,36.25,-87.75,86
785,36.25,-87.25,631
786,36.25,-86.75,7744
787,36.25,-86.25,550
788,36.25,-85.75,457
789,36.25,-85.25,265
790,36.25,-84.75,212
791,36.25,-84.25,541
792,36.25,-83.75,732
793,36.25,-83.25,492
794,36.25,-82.75,441
795,36.25,-82.25,364
796,36.25,-81.75,413
797,36.25,-81.25,316
798,36.25,-80.75,396
799,36.25,-80.25,1040
800,36.25,-79.75,1487
801,36.25,-79.25,581
802,36.25,-78.75,651
803,36.25,-78.25,285
804,36.25,-77.75,112
805,36.25,-77.25,66
806,36.25,-76.75,130
807,36.25,-76.25,131
808,36.25,-75.75,414
809,36.75,-122.25,144
810,36.75,-121.75,2640
811,36.75,-121.25,626
812,36.75,-120.75,95
813,36.75,-120.25,1079
814,36.75,-119.75,4631
815,36.75,-119.25,42
816,36.75,-118.75,115
817,36.75,-118.25,133
818,36.75,-117.75,83
819,36.75,-117.25,48
820,36.75,-116.75,218
821,36.75,-116.25,249
822,36.75,-115.75,78
823,36.75,-114.75,130
824,36.75,-114.25,49
825,36.75,-113.75,78
826,36.75,-112.75,422
827,36.75,-112.25,409
828,36.75,-111.75,241
829,36.75,-111.25,338
830,36.75,-110.75,209
831,36.75,-110.25,232
832,36.75,-109.75,483
833,36.75,-109.25,225
834,36.75,-108.25,219
835,36.75,-107.75,41
836,36.75,-106.75,124
837,36.75,-105.75,65
838,36.75,-104.25,45
839,36.75,-103.75,40
840,36.75,-101.25,30
841,36.75,-97.25,221
842,36.75,-95.75,211
843,36.75,-95.25,198
844,36.75,-94.75,269
845,36.75,-94.25,33
846,36.75,-93.75,73
847,36.75,-93.25,184
848,36.75,-91.75,125
849,36.75,-91.25,36
850,36.75,-90.75,45
851,36.75,-90.25,93
852,36.75,-89.75,162
853,36.75,-89.25,84
854,36.75,-88.75,377
855,36.75,-88.25,547
856,36.75,-87.75,338
857,36.75,-87.25,1189
858,36.75,-86.75,466
859,36.75,-86.25,528
860,36.75,-85.75,441
861,36.75,-85.25,286
862,36.75,-84.75,61
863,36.75,-84.25,312
864,36.75,-83.75,289
865,36.75,-83.25,212
866,36.75,-82.75,217
867,36.75,-82.25,175
868,36.75,-81.75,403
869,36.75,-81.25,392
870,36.75,-80.75,456
871,36.75,-80.25,499
872,36.75,-79.75,309
873,36.75,-79.25,551
874,36.75,-78.75,413
875,36.75,-78.25,75
876,36.75,-77.75,100
877,36.75,-77.25,190
878,36.75,-76.75,285
879,36.75,-76.25,2253
880,36.75,-75.75,217
881,37.25,-122.25,2123
882,37.25,-121.75,2944
883,37.25,-121.25,136
884,37.25,-120.75,330
885,37.25,-120.25,1145
886,37.25,-119.75,1226
887,37.25,-119.25,270
888,37.25,-118.75,41
889,37.25,-118.25,67
890,37.25,-117.25,79
891,37.25,-116.75,56
892,37.25,-113.75,1003
893,37.25,-113.25,863
894,37.25,-112.75,480
895,37.25,-112.25,83
896,37.25,-111.75,72
897,37.25,-109.75,436
898,37.25,-109.25,557
899,37.25,-108.25,140
900,37.25,-107.75,396
901,37.25,-107.25,199
902,37.25,-106.75,103
903,37.25,-106.25,181
904,37.25,-105.75,247
905,37.25,-104.75,32
906,37.25,-100.75,89
907,37.25,-99.25,65
908,37.25,-98.75,85
909,37.25,-98.25,134
910,37.25,-97.75,89
911,37.25,-97.25,516
912,37.25,-96.75,96
913,37.25,-96.25,75
914,37.25,-95.75,508
915,37.25,-95.25,548
916,37.25,-94.75,832
917,37.25,-94.25,206
918,37.25,-93.75,83
919,37.25,-93.25,1463
920,37.25,-92.75,285
921,37.25,-92.25,181
922,37.25,-89.75,75
923,37.25,-88.75,250
924,37.25,-88.25,149
925,37.25,-87.75,126
926,37.25,-87.25,703
927,37.25,-86.75,388
928,37.25,-86.25,770
929,37.25,-85.75,680
930,37.25,-85.25,293
931,37.25,-84.75,210
932,37.25,-84.25,279
933,37.25,-83.75,54
934,37.25,-83.25,43
935,37.25,-82.75,151
936,37.25,-81.75,235
937,37.25,-81.25,553
938,37.25,-80.75,796
939,37.25,-80.25,628
940,37.25,-79.75,1399
941,37.25,-79.25,1164
942,37.25,-78.75,277
943,37.25,-78.25,410
944,37.25,-77.75,250
945,37.25,-77.25,571
946,37.25,-76.75,1170
947,37.25,-76.25,543
948,37.25,-75.75,114
949,37.75,-122.75,280
950,37.75,-122.25,4128
951,37.75,-121.75,862
952,37.75,-121.25,895
953,37.75,-120.75,485
954,37.75,-120.25,638
955,37.75,-119.75,261
956,37.75,-119.25,137
957,37.75,-118.75,113
958,37.75,-117.25,118
959,37.75,-113.75,421
960,37.75,-113.25,414
961,37.75,-112.75,620
962,37.75,-112.25,319
963,37.75,-111.75,302
964,37.75,-111.25,152
965,37.75,-110.25,490
966,37.75,-109.75,134
967,37.75,-109.25,324
968,37.75,-108.25,38
969,37.75,-107.75,512
970,37.75,-106.75,36
971,37.75,-106.25,154
972,37.75,-105.75,114
973,37.75,-105.25,62
974,37.75,-104.75,88
975,37.75,-103.75,87
976,37.75,-101.75,36
977,37.75,-101.25,100
978,37.75,-100.75,242
979,37.75,-100.25,139
980,37.75,-99.75,190
981,37.75,-99.25,81
982,37.75,-98.75,101
983,37.75,-98.25,216
984,37.75,-97.75,392
985,37.75,-97.25,802
986,37.75,-96.75,144
987,37.75,-96.25,132
988,37.75,-95.75,86
989,37.75,-95.25,778
990,37.75,-94.75,287
991,37.75,-93.75,105
992,37.75,-93.25,250
993,37.75,-92.75,123
994,37.75,-92.25,77
995,37.75,-90.25,36
996,37.75,-89.25,261
997,37.75,-88.75,1064
998,37.75,-88.25,515
999,37.75,-87.75,359
1000,37.75,-87.25,422
1001,37.75,-86.75,46
